id_transacao,data_da_venda,nome_produto,categoria_prod,qtd_vendida,preco_unitario,uf_cliente,id_cliente,forma_pagamento
TRN-33062,23.06.26,  Teclado Mecanico ,ND,8,"R$ 260,53",CE,2859,Cartao de Credito
TRN-4267,2026/06/29 00:00:00,Smartphone Y,Eletronicos,8,BRL 2209.13,RS,4140,Boleto Bancario
11087,2026-04-08,  Monitor 24 ,perifericos,5,"723,92",RJ,8669,Pix
TRN-30076,2026-01-17,MONITOR 24,Perifericos,12,"R$ 795,02",RJ,1635,Boleto Bancario
TRN-42289,27.04.26,Smartphone Y,eletronicos,-1,1927.30,CE,8430,Cartao de Credito
TRN-36068,2026-02-17,smartphone y,Eletronicos,10,BRL 2107.33,BA,4600,Boleto Bancario
TRN-9506,2026-06-28,Tablet Z,Eletronicos,13,"1200,05",Rio de Janeiro,4772,Cartao de Credito
TRN-25017,06.01.26,T@bl3t Z,Eletronicos,13,"R$ 1.080,97",sc,9293,boleto bancario
TRN-11796,03-09-2026,Tablet Z,Eletronicos,12,BRL 1105.13,GO,1831,Boleto Bancario
TRN-38314,2026/02/27 00:00:00,Notebook X,Eletronicos,10,BRL 3332.47,PE-,8456,Pix
TRN-11084,04-23-2026,Smartphone Y,,4,"2140,63",PR,9234,Cartao de Credito
TRN-30547,2026-05-28,Fon3 d3 Ouvido,Audio,2,"R$ 192,56",GO,4685,Cartao de Credito
TRN-36278,2026/02/11 00:00:00,Mous3 S3m Fio,Perifericos,14,"127,70",CE,7049,Pix
TRN-36539,02.01.26,Mouse Sem Fio,Perifericos,2,"130,58",PE-,ID-1652,BOLETO BANCARIO
TRN-32690,05-15-2026,Teclado Mecanico,ND,15,"R$ 267,85", MG ,6916,cartao de credito
TRN-6302,15.06.26,TECLADO MECANICO,ND,-6,BRL 239.13,RS,8572,Pix
TRN-38785,09/05/2026,Fone de Ouvido,,1,"193,09",SC,2137,boleto bancario
TRN-12004,06-19-2026,,perifericos,2,BRL 236.54, BA ,7648,Boleto Bancario
TRN-46631,01.03.26,NOTEBOOK X,,5,3481.00, CE ,9625,CARTAO DE CREDITO
TRN-15444,2026/02/06 00:00:00,Not3book X,Eletronicos,14,"3432,74", MG ,7471,Boleto Bancario
TRN-46025,2026/05/03 00:00:00,Smartphone Y,Eletronicos,9,sem preco, PE ,8658,Cartao de Credito
TRN-40739,2026/03/28 00:00:00,Teclado Mecanico,ND,13,"246,49",SP,7641 ,Boleto Bancario
TRN-36519,N/A,Fon3 d3 Ouvido,Audio,7,"R$ 180,13",SC,9482,Cartao de Credito
TRN-8859,2026/04/01 00:00:00,teclado mecanico,Perifericos,11,"240,74",PE,1437,Pix
TRN-3587,20.04.26,Mouse Sem Fio,Perifericos,6,122.28388051636287,RS,8119 ,Pix
TRN-24696,19.03.26,Fone de Ouvido,,6 pcs,171.53,RJ,1291,Boleto Bancario
TRN-3467,15/04/2026,notebook x,Eletronicos,2,"R$ 3.370,06",PE,6045,
TRN-23361,03-03-2026,Tablet Z,eletronicos,13,"1207,29",CE,9041,Cartao de Credito
TRN-10295,02-06-2026,  Fone de Ouvido ,Audio,5,"174,22",CE,9563,cartao de credito
TRN-47704,25.01.26,Not3book X,Eletronicos,13,"R$ 3.711,81", CE ,9581,Boleto Bancario
2651,2026-05-07,Sm@rtphon3 Y,Eletronicos,12.0,sem preco,MG,9588,Boleto Bancario
TRN-6824,2026-05-26,notebook x,eletronicos,5,BRL 3284.53,RJ,5699,Pix
TRN-49921,06-12-2026,Tablet Z,Eletronicos,12,1289.28,PE-,4658,Boleto Bancario
TRN-19434,13/06/2026,Fone de Ouvido,Audio,2,"R$ 176,96",Sao Paulo,5976,Cartao de Credito
TRN-5752,10/05/2026,,Audio,15,"R$ 164,51",MG,8861,Pix
TRN-34259,13.03.26,FONE DE OUVIDO,,-7,"166,03",PR,7610,Cartao de Credito
TRN-1782,01.03.26,Monitor 24,,1,"R$ 825,76",PE,9866,Boleto Bancario
8396,05-12-2026,Fone de Ouvido,Audio,-6,176.86,PE,6681 ,Boleto Bancario
TRN-35422,2026-02-21,  Tablet Z ,Eletronicos,8,"1258,35",GO,7782,Pix
TRN-47767,13.03.26,Notebook X,Eletronicos,5,BRL 3307.84,MG,3650,
TRN-23282,04/06/2026,MOUSE SEM FIO,,3,sem preco, CE ,6977,BOLETO BANCARIO
TRN-33572,13.01.26,Teclado Mecanico,Perifericos,11,243.70,CE-,8324,Boleto Bancario
TRN-22857,02/04/2026,Mouse Sem Fio,Perifericos,-13,BRL 109.29,PE,3633,Boleto Bancario
TRN-36689,22/06/2026,teclado mecanico,Perifericos,4,"255,10",BA,1334,Cartao de Credito
TRN-23095,27.04.26,MONITOR 24,Perifericos,14,"839,20", SP ,9066,Cartao de Credito
TRN-4487,2026-06-23,Monitor 24,ND,9 pcs,830.7017781654661,BA,1765,BOLETO BANCARIO
TRN-10546,04.01.26,Notebook X,Eletronicos,8,3703.031306057784,Minas Gerais,4876,Boleto Bancario
TRN-9671,2026-05-05,Tablet Z,,11,"R$ 1.265,82",SP,4714,Boleto Bancario
TRN-17362,09.03.26,Mouse Sem Fio,Perifericos,13.0,"R$ 124,69",PE,9201,boleto bancario
TRN-47165,09/06/2026,fone de ouvido,ND,13,"R$ 191,00",PE-,1501,Pix
TRN-18399,01-05-2026,  Monitor 24 ,,4,"755,49",SC,4237,Boleto Bancario
TRN-31943,2026-02-28,  Monitor 24 ,Perifericos,10,sem preco,CE-,ID-9807,CC
TRN-38137,25/03/2026,teclado mecanico,Perifericos,10,sem preco,BA,ID-4926,Cartao de Credito
TRN-23375,20/02/2026,tablet z,Eletronicos,-12,"R$ 1.140,32",BA,6225,cartao de credito
TRN-35610,2026-04-18,Fone de Ouvido,Audio,10,"R$ 185,28",GO,6319,Boleto Bancario
TRN-27248,21/03/2026,Tablet Z,,5,BRL 1192.14,PE,8804,Boleto Bancario
TRN-38090,2026-05-25,Fon3 d3 Ouvido,Audio,9,180.21,PE,8515,
TRN-27406,2026-05-19,  Notebook X ,Eletronicos,5,sem preco,RJ,4903,cartao de credito
TRN-41990,2026-01-01,FONE DE OUVIDO,ND,2,"R$ 178,48",pr,1870,Pix
TRN-3633,03-12-2026,TECLADO MECANICO,,8,"R$ 240,87",SP-,8365,pix
TRN-33009,28/03/2026,Notebook X,Eletronicos,,BRL 3705.64,ba,2209,Cartao de Credito
TRN-9333,04-06-2026,Notebook X,,8,"R$ 3.575,30",RJ,ID-3692,
TRN-29514,02.04.26,Monitor 24,,1,"783,80",sc,2862,Pix
TRN-30347,30.06.26,notebook x,Eletronicos,3.0,sem preco,PR-,4146,Pix
TRN-25858,2026-04-09,Teclado Mecanico,Perifericos,8.0,"R$ 255,97",MG,8680,Pix
TRN-34409,06.02.26,notebook x,Eletronicos,-14,"R$ 3.803,07",MG,8434,Pix
TRN-22361,2026/06/06 00:00:00,Smartphone Y,ND,12,sem preco,MG,6068,PIX
TRN-45427,2026-05-05,,Perifericos,8,750.44,MG,7470,Cartao de Credito
TRN-39674,24/02/2026,Mouse Sem Fio,Perifericos,7,"119,85",Minas Gerais,3989,Pix
TRN-6818,30.05.26,Smartphone Y,Eletronicos,5,"R$ 2.248,56",RJ,4077,Pix
TRN-867,2026-01-02,  Fone de Ouvido ,Audio,3.0,"164,45",SP,6298,Boleto Bancario
TRN-39367,2026/04/02 00:00:00,Mouse Sem Fio,ND,15,108.07008429005077,mg,2515,Pix
TRN-5169,03-30-2026,Teclado Mecanico,perifericos,8,244.39,Sao Paulo,2143,Cartao de Credito
TRN-3736,01-06-2026,T@bl3t Z,Eletronicos,13,"1138,31",MG-,7762,Cartao de Credito
TRN-24828,2026/01/15 00:00:00,MOUSE SEM FIO,Perifericos,5,130.24,RJ,9782,PIX
TRN-22479,05-22-2026,,Eletronicos,1,"R$ 3.259,03",sc,8092 ,BOLETO BANCARIO
TRN-41044,2026-01-25,smartphone y,Eletronicos,9.0,1979.0907310106652,Minas Gerais,ID-7245,pix
TRN-25061,08.03.26,  Teclado Mecanico ,Perifericos,2,"R$ 260,92",Rio de Janeiro,7203,PIX
TRN-47322,06-04-2026,  Tablet Z ,Eletronicos,12,1198.0863568166094,PR,6436,Boleto Bancario
TRN-15281,N/A,teclado mecanico,,6,"252,12",PE,1955,Boleto Bancario
TRN-29664,06-30-2026,Tablet Z,Eletronicos,,1282.39,PE,2812,Boleto Bancario
TRN-27751,01-26-2026,  Tablet Z ,eletronicos,13,"R$ 1.284,38",pe,2186,Cartao de Credito
TRN-13305,2026-06-07,  Tablet Z ,Eletronicos,-12,"1231,75", RJ ,9846,Boleto Bancario
TRN-9173,02.01.26,Tablet Z,ND,12,sem preco,BA,4887,Boleto Bancario
TRN-8110,05-14-2026,Monitor 24,,4,781.1897514337587,SP,1958,pix
TRN-27843,2026-06-01,Tablet Z,,14,BRL 1146.29, CE ,9370,Pix
TRN-826,15/04/2026,Smartphone Y,,3,2151.62,SC,9549,pix
856,2026-06-04,T3cl@do M3c@nico,Perifericos,4,244.8951531053716,RJ,1734,Boleto Bancario
TRN-37796,2026-06-22,  Smartphone Y ,Eletronicos,5,1968.3959557995067,PR,9093,pix
TRN-15790,22.05.26,Sm@rtphon3 Y,Eletronicos,6,BRL 2216.77,CE,ID-1364,Cartao de Credito
TRN-41687,2026-06-08,Monitor 24,Perifericos,2,"R$ 760,43",PR,7695,Boleto Bancario
TRN-23136,03-07-2026,,Eletronicos,2,"R$ 3.563,35",SP-,3384 ,
TRN-3650,2026/01/30 00:00:00,,Eletronicos,6,3433.32,rs,3644,Boleto Bancario
TRN-26449,13.06.26,Mouse Sem Fio,,9,"113,78",RJ-,7189,Boleto Bancario
TRN-32539,02-01-2026,TABLET Z,Eletronicos,11,1225.94,SC,1364,Pix
TRN-43996,04-30-2026,tablet z,Eletronicos,12,BRL 1303.84,PR-,9571,Pix
TRN-47251,29.05.26,tablet z,Eletronicos,12,"1313,60",SP,8520,cartao de credito
TRN-3373,29.05.26,Smartphone Y,Eletronicos,5,"R$ 1.928,16",PR,4513,cartao de credito
TRN-17259,01-16-2026,Mouse Sem Fio,Perifericos,8,"R$ 131,60",GO,1197,Boleto Bancario
29730,2026-02-06,Notebook X,Eletronicos,6.0,"R$ 3.793,40",GO,8486,Cartao de Credito
TRN-33500,2026-02-16,monitor 24,Perifericos,7 pcs,722.4328622046615,BA,5678,cartao de credito
